"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"17/12/2020  14:21:00,000","    54000000"," -91,7","   4,9","-104,6"," -83,7","33","Meas. Unit: ETM002"
"17/12/2020  14:21:00,000","    55000000"," -92,4","   6,4","-110,9"," -83,3","33","Longitude: 047°56'01,6""W"
"17/12/2020  14:21:00,000","    56000000"," -92,3","   5,5","-105,6"," -82,0","33","Latitude: 16°15'10,5""S"
"17/12/2020  14:21:00,000","    57000000"," -93,4","   6,5","-113,7"," -83,4","33","Measurement Result Type: Compressed Measurement Result"
"17/12/2020  14:21:00,000","    58000000"," -94,1","   5,5","-106,5"," -83,1","33","Meas. Result Properties: "
"17/12/2020  14:21:00,000","    59000000"," -94,5","   8,3","-132,8"," -87,0","33"," Start Date: 17/12/2020"
"17/12/2020  14:21:00,000","    60000000"," -92,4","   6,7","-110,3"," -84,5","33"," Start Time: 14:20:05"
"17/12/2020  14:21:00,000","    61000000"," -90,6","   5,0","-103,1"," -82,1","33"," Stop Date: 17/12/2020"
"17/12/2020  14:21:00,000","    62000000"," -89,8","   3,9"," -98,4"," -82,4","33"," Stop Time: 16:20:47"
"17/12/2020  14:21:00,000","    63000000"," -90,5","   5,5","-106,8"," -82,8","33"," Number of Measurements: 4156"
"17/12/2020  14:21:00,000","    64000000"," -90,1","   4,6","-103,9"," -83,0","33"," Compress Time Interval: 1 min"
"17/12/2020  14:21:00,000","    65000000"," -91,1","   5,4","-101,1"," -81,4","33","Timing Definition:"
"17/12/2020  14:21:00,000","    66000000"," -90,8","   5,6","-106,5"," -83,5","33","Name: timing_PRD"
"17/12/2020  14:21:00,000","    67000000"," -91,7","   5,1","-103,5"," -82,1","33","Date: 09/04/2020"
"17/12/2020  14:21:00,000","    68000000"," -91,7","   5,3","-101,9"," -79,0","33","Time: 01:16:03"
"17/12/2020  14:21:00,000","    69000000"," -92,8","   6,6","-106,9"," -79,6","33","Measurement Definition:"
"17/12/2020  14:21:00,000","    70000000"," -92,1","   5,5","-107,7"," -83,8","33","Name: meas_PRD"
"17/12/2020  14:21:00,000","    71000000"," -91,9","   5,4","-104,1"," -84,1","33","Date: 09/04/2020"
"17/12/2020  14:21:00,000","    72000000"," -91,9","   5,9","-104,3"," -82,3","33","Time: 01:13:07"
"17/12/2020  14:21:00,000","    73000000"," -94,0","   6,5","-116,7"," -82,8","33","Measurement Type: Scan"
"17/12/2020  14:21:00,000","    74000000"," -94,0","   7,6","-122,1"," -84,1","33","Minimum Frequency: 54,000000 MHz"
"17/12/2020  14:21:00,000","    75000000"," -91,9","   5,0","-106,6"," -84,9","33","Maximum Frequency: 88,000000 MHz"
"17/12/2020  14:21:00,000","    76000000"," -92,4","   4,9","-103,4"," -85,0","33","Step Width: 1,000000 MHz"
"17/12/2020  14:21:00,000","    77000000"," -91,6","   5,1","-105,4"," -84,0","33","Squelch: Off"
"17/12/2020  14:21:00,000","    78000000"," -92,4","   5,6","-108,6"," -82,9","33","Meas. Parameter: Level"
"17/12/2020  14:21:00,000","    79000000"," -91,6","   4,4","-102,0"," -83,9","33","Range Definition:"
"17/12/2020  14:21:00,000","    80000000"," -90,9","   5,4","-105,0"," -83,8","33","Name: PRD_35_TV1_VHFL"
"17/12/2020  14:21:00,000","    81000000"," -91,6","   7,5","-120,2"," -83,1","33","Date: 22/02/2020"
"17/12/2020  14:21:00,000","    82000000"," -92,1","   6,1","-107,4"," -83,0","33","Time: 01:52:53"
"17/12/2020  14:21:00,000","    83000000"," -93,7","   5,7","-107,6"," -82,5","33","No. of Subranges: 1"
"17/12/2020  14:21:00,000","    84000000"," -92,4","   4,4","-100,5"," -85,8","33","Subrange 1:"
"17/12/2020  14:21:00,000","    85000000"," -92,0","   4,9","-105,3"," -82,8","33","Start Frequency: 54,000000 MHz"
"17/12/2020  14:21:00,000","    86000000"," -91,5","   4,5","-102,7"," -83,1","33","Stop Frequency: 88,000000 MHz"
"17/12/2020  14:21:00,000","    87000000"," -83,7","   3,5"," -91,2"," -77,0","33","Device 1:"
"17/12/2020  14:21:00,000","    88000000"," -77,3","   4,2"," -90,3"," -70,4","33","Name: ADDx07_dBm"
"17/12/2020  14:22:00,000","    54000000"," -92,3","   5,5","-105,9"," -84,6","34","Azimuth: 0,000 deg"
"17/12/2020  14:22:00,000","    55000000"," -92,0","   4,9","-102,7"," -83,1","34","Elevation: 0,000 deg"
"17/12/2020  14:22:00,000","    56000000"," -91,9","   5,7","-109,8"," -81,8","34","Height: 0,00 m"
"17/12/2020  14:22:00,000","    57000000"," -91,3","   4,9","-101,9"," -82,1","34","Device 2:"
"17/12/2020  14:22:00,000","    58000000"," -92,4","   5,1","-105,1"," -82,4","34","Name: EB500"
