"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"2020-12-05  17:20:00,000","    74000000","-110,9","   4,3","-119,5","-105,6","20","Meas. Unit: ETM043"
"2020-12-05  17:20:00,000","    74005000","-113,1","   5,3","-122,0","-106,2","20","Longitude: 051°24'42,3""W"
"2020-12-05  17:20:00,000","    74010000","-112,3","   4,5","-127,4","-107,4","20","Latitude: 00°42'32,6""N"
"2020-12-05  17:20:00,000","    74015000","-111,2","   2,6","-116,4","-105,8","20","Measurement Result Type: Compressed Measurement Result"
"2020-12-05  17:20:00,000","    74020000","-112,7","   6,8","-132,1","-103,9","20","Meas. Result Properties: "
"2020-12-05  17:20:00,000","    74025000","-112,9","   5,1","-125,7","-107,1","20"," Start Date: 2020-12-05"
"2020-12-05  17:20:00,000","    74030000","-115,8","   9,3","-143,4","-108,0","20"," Start Time: 17:18:27"
"2020-12-05  17:20:00,000","    74035000","-113,3","   6,1","-126,8","-105,6","20"," Stop Date: 2020-12-05"
"2020-12-05  17:20:00,000","    74040000","-112,6","   4,0","-119,8","-104,1","20"," Stop Time: 17:50:04"
"2020-12-05  17:20:00,000","    74045000","-113,2","   5,6","-128,8","-107,2","20"," Number of Measurements: 601"
"2020-12-05  17:20:00,000","    74050000","-113,8","   6,3","-130,4","-106,8","20"," Compress Time Interval: 1 min"
"2020-12-05  17:20:00,000","    74055000","-112,8","   4,7","-123,6","-104,3","20","Timing Definition:"
"2020-12-05  17:20:00,000","    74060000","-114,1","   7,7","-139,7","-102,3","20","Name: timing_CP"
"2020-12-05  17:20:00,000","    74065000","-112,7","   5,7","-126,9","-102,7","20","Date: 2020-04-09"
"2020-12-05  17:20:00,000","    74070000","-113,4","   5,5","-129,2","-105,5","20","Time: 01:27:43"
"2020-12-05  17:20:00,000","    74075000","-113,3","   4,2","-120,7","-105,5","20","Measurement Definition:"
"2020-12-05  17:20:00,000","    74080000","-115,8","   6,4","-131,6","-106,2","20","Name: meas_PMEC"
"2020-12-05  17:20:00,000","    74085000","-114,4","   6,8","-134,3","-105,3","20","Date: 2020-04-09"
